id,sentence,target
22,대중에게 정보제공이 잘 이뤄진다면 원자력 발전에 드는 비용이 지금처럼 높을 필요가 없다.
23,"법률로 연령별 활동 가능 시간에 차이를 둔다면, 구성원별 활동 가능 시간이 달라질 수밖에 없어 활동에 상당한 제약이 발생할 것이다."
24,"주체적으로 나의 존엄성을 유지하고 싶다면 자신의 발전, 즉 업데이트를 위해 끊임없이 노력해야 한다."
25,저기 보면 브레인 스토머 커리어 뭐 코딩 파트너 저렇게 기본적으로 되어 있는 걸 활용할 수도 있습니다.
26,그래서 나중에 지나고 보니 이게 시간적인 여유가 있을 때 있었으면 참 좋았을 테라는
27,이 과정에서 처음 이야기가 시작된 친구에 관한 내용은 이미 흔적도 없다.
28,자동 차의 전조등이 사라지자 인적도 불빛도 없었다.
29,토스뱅크 관계자는 “고객들이 보다 안전하게 토스뱅크를 이용하실 수 있도록 글로벌 수준의 개인정보보호 관리체계 인증을 취득하게 됐다”며 “고객의 개인정보 보호를 최우선으로 하는 것을 국제적으로 인정받은 만큼 혁신과 편의성은 물론 신뢰할 수 있는 은행이 되도록 지속 노력하겠다”고 말했다.
30,그는 “신냉전과 미-중 갈등이 이어지며 중국 경제에 대한 구조적 우려가 있지만 올 한 해는 리오프닝에 따른 경기 모멘텀이 기대된다”며 “이렇듯 매크로(거시경제)에서는 서로 어긋난 방향을 가리킬 가능성이 크다”고 분석했다.
31,드디어 도적도 이 푸른 서슬을 쓸 수 있게 바뀐다고 합니다.
32,이제 도적 아이디어만 있음 돼.
33,적당히 따라 하면 올라갈 수 있게 해주겠다.
34,진짜 이 정도면은 합법적으로 오토 마우스 쓰게 해 줘.
35,병장의 주적은 간부이다.
36,"윤석열 대통령은 말은 이념이라고 하는데, 따지고 보면 이념이 없고 그냥 적이다."
37,"기존에 장외채권을 거래한 적 없는 뱅키스 고객이 장외채권을 100만원 이상 매수할 시, 신세계상품권 1만원을 지급한다."
38,"뿐만 아니라, 2016년에는 국내에서 뮤지컬로도 제작이 된 적 있다."
39,과제도 시험 준비도 그렇게 열심히 해본 적 없었는데 졸업이 걸려있으니 어떻게든 하게 되어 있더라.
40,"야, 나도 그런적 있어."
41,피자 한 판 다 먹은 적 있다.
42,(김 지사가) 녹사평역 내에 단 한번이라도 다녀간 적 있냐?
43,강남은 찹스테이크를 준비하는 어머니를 향해 “그런 음식 나한테 한 번도 만들어준 적 없지 않냐”고 서운해했다.
44,하나 신용카드를 발급 받은 적이 없거나 6개월 간 사용 실적이 없는 경우 신세계 제휴 항공마일리지 특화 제휴카드인 ‘신세계 the Mile카드’를 신규 발급 받아 20만원 이상 결제하면 아시아나항공 1만5000 마일리지 적립 혜택을 제공해 마일리지와 경품을 모두 받아볼 수 있다.
45,그러면서 “저 같은 경우는 이화영이라는 분을 한 번도 본 적도 없고 면식도 없는 분이다.
46,코로나와 전역 전 휴가 덕분에 군 생활 내내 단 한번도 화생방 훈련한 적은 없었습니다.
47,실제로 사하라의 눈에 위치한 모리타니에서는 고래 뼈가 발견된 적이 있어
48,정말 저희가 아버지가 그렇게 악한 분인데도 불구하고 그 가스라이팅 때문에 정말 평생을 저는 저도 그렇고 아버지를 되게 존중하고 존경하고 무서워하고 따르고 한마디도 단 한마디도 저는 싫어요 못해요 안 해요라고 해 본 적이 없어요.
49,"겪어 본 적이 없으니 실제로 다를지는 알 수 없지만, 일단 '잃었다'는 느낌이 들지 않는다."
50,어렸을 때 달팽이를 길러 본적이 있다.
51,글쓰는 걸 좋아한다고 생각해본 적이 없었다.
52,우리는 모두 한 번쯤 우주에 대한 다큐멘터리나 사진을 본 적이 있을 겁니다.
53,부모의 마음은 전부 그런 건가 싶어 어머니께 왜 그러셨냐고 여쭸던 적이 있다.
54,아버지는 끼니를 거르셔도 우리는 밥을 굶은 적이 없다.
55,저는 제주도에 간 적이 있습니다.
56,또한 어쩌면 언젠가 만난 적이 있는 엉터리 점장이의 주술을 막연히 신봉하고 있었던 때문인지도 모르겠다.
57,늘 사용하는 열쇠 꾸러미를 엉뚱하게 냉장고 안에 넣어 둔 적도 있었다.
58,대한항공 조종사들에 대해 스카우트 제의를 한 적은 오늘날까지 한 번도 없었다.
59,너가 계속 반대한다면 너가 그 곳에 간 적이 있다고 말할거야.
